Year,Species,MS,UL,JS,BF,FF,RF,CL,FL,
2010,Ribes alpinum* (Austria),,71,,102,124,,243,287,
2010,Salix aurita* (Germany),,,,,,,287,321,
2010,Salix acutifolia* (Germany),,96,,78,94,,287,307,
2010,Salix smithiana* (Germany),,96,,78,84,,259,307,
2010,Salix glauca (Greenland),,,,,,,,,
2010,Salix viminalis* (Germany),,96,,78,119,,259,307,
2010,Sambucus nigra* (Germany),,,,,,,287,307,
2010,Corylus avellana*,,96,,53,70,,235,309,
2010,Forsythia suspensa," ""Fortunei""*",,99,,88,96,,277,321
2010,Syringa x chinensis," ""Red Rothomagensis""*",,96,,140,145,,307,321
2011,Picea abies (early)* (Germany),117,,,,,,,,
2011,Picea abies (late)* (Germany),147,,,,101,,,,
2011,Betula pubescens* (Germany),,91,,108,117,,297,327,
2011,Fagus sylvatica (Hardegsen)* (Germany),,108,,,,,297,327,
2011,Quercus robur (Wolfgang)* (Germany),,117,174,,,271,297,327,
2011,Tilia cordata* (Germany),,98,,,,,311,327,
2011,Ribes alpinum* (Austria),,52,,82,87,,271,280,
2011,Salix aurita* (Germany),,101,,108,117,,297,327,
2011,Salix acutifolia* (Germany),,66,,66,82,,297,327,
2011,Salix smithiana* (Germany),,66,,66,82,,311,327,
2011,Salix viminalis* (Germany),,66,,66,82,,311,327,
2011,Sambucus nigra* (Germany),,,,,,,,,
2011,Corylus avellana*,,82,,,,,204,327,
2011,Forsythia suspensa," ""Fortunei""*",,87,,,,,257,311
2011,Syringa x chinensis," ""Red Rothomagensis""*",,52,,108,123,,297,327
2012,Picea abies (early)* (Germany),137,,,,,,,,
2012,Picea abies (late)* (Germany),137,,,,,,,,
2012,Betula pubescens* (Germany),,93,,,,,303,327,
2012,Fagus sylvatica (Hardegsen)* (Germany),,128,,,,,263,303,
2012,Quercus robur (Wolfgang)* (Germany),,128,,,,,303,327,
2012,Tilia cordata* (Germany),,137,,,,,263,303,
2012,Ribes alpinum* (Austria),,71,,87,103,,263,303,
2012,Salix aurita* (Germany),,128,,,,,303,327,
2012,Salix acutifolia* (Germany),,87,,78,87,,263,327,
2012,Salix smithiana* (Germany),,87,,71,78,,303,337,
2012,Salix viminalis* (Germany),,87,,76,78,,263,327,
2012,Sambucus nigra* (Germany),,,,,,,,,
2012,Corylus avellana*,,78,,,,,263,303,
2012,Forsythia suspensa," ""Fortunei""*",,93,,78,87,,263,327
2012,Syringa x chinensis," ""Red Rothomagensis""*",,78,,128,137,,263,303
2013,Picea abies (early)* (Germany),136,,,119,119,,,,
2013,Picea abies (late)* (Germany),140,,,119,129,,,,
2013,Betula pubescens* (Germany),,115,,,,,294,315,
